# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2112018396
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=testtraces_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,Q
-3997.53,0.997816,0.30659,2,5,0,3997.71,0.93295,0.893478
-3997.52,0.985076,0.496852,2,7,0,3998.78,0.914578,0.896754
-3997.07,1,0.77629,1,3,0,3997.82,0.921891,0.895649
-3997.07,9.51022e-06,1.24858,1,1,0,3998.79,0.921891,0.895649
-3997.45,0.993149,0.194924,4,15,0,3997.54,0.92913,0.89533
-3997.3,0.971362,0.309424,3,15,0,3999.39,0.930169,0.893417
-3998.04,0.994609,0.464428,3,7,0,3998.05,0.910213,0.900234
-3998.04,0.251822,0.731253,1,1,0,3999.3,0.910213,0.900234
-3998.1,0.999706,0.212428,2,3,0,3998.11,0.909915,0.900383
-3997.24,0.990514,0.338036,3,15,0,3998.34,0.917879,0.896243
-3998.7,0.83416,0.523938,2,3,0,3998.8,0.923499,0.899034
-3999.41,0.94233,0.570288,2,7,0,4000.17,0.921555,0.891613
-3997.47,1,0.787804,1,3,0,3998.64,0.928812,0.892634
-3997.77,0.158306,1.23075,1,3,0,3998.52,0.925457,0.897262
-3998.66,0.95335,0.303474,2,3,0,3998.81,0.927843,0.897751
-3998.65,0.938391,0.428489,3,7,0,4000.67,0.912769,0.901201
-3999.25,0.798403,0.583412,1,3,0,4000.11,0.918988,0.900692
-3999.59,0.880602,0.585823,4,15,0,4001.29,0.937921,0.895202
-3999.85,0.967605,0.7012,2,7,0,4000.6,0.915599,0.892978
-3997.83,1,1.00779,1,1,0,3998.05,0.92649,0.897047
-3998.79,0.333333,1.54492,1,3,1,3999.23,0.904995,0.901596
-3997.59,0.806993,0.580171,2,5,0,4000.06,0.919434,0.898444
-4000.07,0.750349,0.592978,3,11,0,4001.16,0.917178,0.901815
-3999.27,1,0.538548,1,1,0,4000.19,0.917138,0.901113
-3998.45,0.999423,0.820774,2,3,0,3999.39,0.925657,0.898158
-3998.45,3.62918e-07,1.2439,1,1,0,3998.92,0.925657,0.898158
-3997.11,1,0.242368,3,7,0,3998.4,0.922967,0.896235
-3997.39,0.951688,0.368455,3,15,0,3998.38,0.931423,0.89314
-3998.46,0.76762,0.505698,2,7,0,3999.7,0.931508,0.896286
-3997.68,0.987699,0.477248,2,7,0,3998.5,0.922236,0.893562
-3997.25,0.974521,0.700941,2,7,0,3997.67,0.916668,0.897133
-3997.25,0.0550024,0.998919,2,3,0,3998.11,0.916668,0.897133
-3997.07,0.998981,0.228103,4,21,0,3997.77,0.923483,0.895178
